time,USA/FED_INTEREST_RATE_DECISION.EODHDEconomicEvents
2025-07-23,4.5
2025-07-24,4.5
2025-07-25,4.5
2025-07-26,4.5
2025-07-27,4.5
2025-07-28,4.5
2025-07-29,4.5
2025-07-30,4.5
2025-09-10,4.5
2025-09-11,4.5
2025-09-12,4.5
2025-09-13,4.5
2025-09-14,4.5
2025-09-15,4.5
2025-09-16,4.5
2025-09-17,4.5
2025-10-22,4.25
2025-10-23,4.25
2025-10-24,4.25
2025-10-25,4.25
2025-10-26,4.25
2025-10-27,4.25
2025-10-28,4.25
2025-10-29,4.25
