time,USA/RETAIL_SALES.EODHDEconomicEvents
2023-12-12,-0.2
2023-12-13,-0.2
2024-01-09,0.3
2024-01-10,0.3
2024-01-11,0.3
2024-01-12,0.3
2024-01-13,0.3
2024-01-14,0.3
2024-01-15,0.3
2024-01-16,0.3
2024-02-07,5.3
2024-02-08,5.3
2024-02-09,5.3
2024-02-10,5.3
2024-02-11,5.3
2024-02-12,5.3
2024-02-13,5.3
2024-02-14,5.3
2024-03-06,-1.1
2024-03-07,-1.1
2024-03-08,-1.1
2024-03-09,-1.1
2024-03-10,-1.1
2024-03-11,-1.1
2024-03-12,-1.1
2024-03-13,-1.1
2024-04-07,0.9
2024-04-08,0.9
2024-04-09,0.9
2024-04-10,0.9
2024-04-11,0.9
2024-04-12,0.9
2024-04-13,0.9
2024-04-14,0.9
2024-05-07,3.8
2024-05-08,3.8
2024-05-09,3.8
2024-05-10,3.8
2024-05-11,3.8
2024-05-12,3.8
2024-05-13,3.8
2024-05-14,3.8
2024-06-10,-0.2
2024-06-11,-0.2
2024-06-12,-0.2
2024-06-13,-0.2
2024-06-14,-0.2
2024-06-15,-0.2
2024-06-16,-0.2
2024-06-17,-0.2
2024-07-08,0.3
2024-07-09,0.3
2024-07-10,0.3
2024-07-11,0.3
2024-07-12,0.3
2024-07-13,0.3
2024-07-14,0.3
2024-07-15,0.3
2024-08-07,2.0
2024-08-08,2.0
2024-08-09,2.0
2024-08-10,2.0
2024-08-11,2.0
2024-08-12,2.0
2024-08-13,2.0
2024-08-14,2.0
2024-09-09,2.9
2024-09-10,2.9
2024-09-11,2.9
2024-09-12,2.9
2024-09-13,2.9
2024-09-14,2.9
2024-09-15,2.9
2024-09-16,2.9
2024-10-09,2.2
2024-10-10,2.2
2024-10-11,2.2
2024-10-12,2.2
2024-10-13,2.2
2024-10-14,2.2
2024-10-15,2.2
2024-10-16,2.2
2024-11-07,2.0
2024-11-08,2.0
2024-11-09,2.0
2024-11-10,2.0
2024-11-11,2.0
2024-11-12,2.0
2024-11-13,2.0
2024-11-14,2.0
2024-12-10,0.4
2024-12-11,0.4
2024-12-12,0.4
2024-12-13,2.8
2024-12-14,0.4
2024-12-15,0.4
2024-12-16,0.4
2024-12-17,0.4
2025-01-09,0.7
2025-01-10,0.7
2025-01-11,0.7
2025-01-12,0.7
2025-01-13,0.7
2025-01-14,0.7
2025-01-15,0.7
2025-01-16,0.7
2025-02-07,3.9
2025-02-08,3.9
2025-02-09,0.7
2025-02-10,0.7
2025-02-11,0.7
2025-02-12,0.7
2025-02-13,3.9
2025-02-14,3.9
2025-03-10,4.2
2025-03-11,-0.9
2025-03-12,-0.8
2025-03-13,4.2
2025-03-14,-0.9
2025-03-15,4.2
2025-03-16,4.2
2025-03-17,-0.8
2025-04-09,0.2
2025-04-10,3.1
2025-04-11,3.1
2025-04-12,3.1
2025-04-13,3.1
2025-04-14,3.1
2025-04-15,3.1
2025-04-16,1.0
2025-05-08,1.7
2025-05-09,1.7
2025-05-10,1.7
2025-05-11,1.7
2025-05-12,1.7
2025-05-13,1.7
2025-05-14,1.7
2025-05-15,1.7
2025-06-10,5.0
2025-06-11,5.0
2025-06-12,5.0
2025-06-13,5.0
2025-06-14,5.0
2025-06-15,5.0
2025-06-16,5.0
2025-06-17,5.0
2025-07-10,3.3
2025-07-11,3.3
2025-07-12,3.3
2025-07-13,3.3
2025-07-14,3.3
2025-07-15,3.3
2025-07-16,3.3
2025-07-17,3.3
2025-08-08,4.4
2025-08-09,4.4
2025-08-10,4.4
2025-08-11,4.4
2025-08-12,4.4
2025-08-13,4.4
2025-08-14,4.4
2025-08-15,4.4
2025-09-09,0.6
2025-09-10,0.6
2025-09-11,0.6
2025-09-12,0.6
2025-09-13,0.6
2025-09-14,0.6
2025-09-15,0.6
2025-09-16,0.6
2025-10-09,0.7
2025-10-10,0.7
2025-10-11,0.7
2025-10-12,0.7
2025-10-13,0.7
2025-10-14,0.7
2025-10-15,0.7
2025-10-16,0.7
2025-11-07,5.0
2025-11-08,5.0
2025-11-09,5.0
2025-11-10,5.0
2025-11-11,5.0
2025-11-12,5.0
2025-11-13,5.0
2025-11-14,5.0
2025-11-18,0.7
2025-11-19,0.7
2025-11-20,0.7
2025-11-22,0.7
2025-11-23,5.0
2025-11-24,5.0
2025-11-25,5.0
